energy: 48.270000, zcr: 18.000000
energy: 45.760000, zcr: 18.000000
energy: 50.340000, zcr: 12.000000
energy: 44.400000, zcr: 16.000000
energy: 56.110000, zcr: 17.000000
energy: 43.860000, zcr: 18.000000
energy: 38.420000, zcr: 21.000000
energy: 38.780000, zcr: 10.000000
energy: 53.020000, zcr: 12.000000
energy: 39.560000, zcr: 17.000000
energy: 49.690000, zcr: 9.000000
energy: 38.630000, zcr: 15.000000
energy: 47.770000, zcr: 10.000000
energy: 44.940000, zcr: 17.000000
energy: 47.000000, zcr: 17.000000
energy: 51.510000, zcr: 12.000000
energy: 35.550000, zcr: 15.000000
energy: 42.920000, zcr: 12.000000
energy: 46.270000, zcr: 14.000000
energy: 33.020000, zcr: 12.000000
energy: 36.300000, zcr: 18.000000
energy: 41.650000, zcr: 11.000000
energy: 57.670000, zcr: 21.000000
energy: 42.590000, zcr: 14.000000
energy: 48.260000, zcr: 17.000000
energy: 53.760000, zcr: 18.000000
energy: 42.880000, zcr: 12.000000
energy: 66.130000, zcr: 15.000000
energy: 37.650000, zcr: 17.000000
energy: 36.460000, zcr: 15.000000
energy: 44.980000, zcr: 18.000000
energy: 32.680000, zcr: 12.000000
energy: 42.270000, zcr: 16.000000
energy: 40.280000, zcr: 14.000000
energy: 48.800000, zcr: 15.000000
energy: 37.670000, zcr: 15.000000
energy: 34.170000, zcr: 16.000000
energy: 47.040000, zcr: 10.000000
energy: 37.050000, zcr: 19.000000
energy: 39.550000, zcr: 14.000000
energy: 43.380000, zcr: 11.000000
energy: 31.470000, zcr: 19.000000
energy: 35.080000, zcr: 18.000000
energy: 38.150000, zcr: 22.000000
energy: 52.110000, zcr: 16.000000
energy: 42.110000, zcr: 17.000000
energy: 37.450000, zcr: 12.000000
energy: 41.540000, zcr: 17.000000
energy: 39.480000, zcr: 17.000000
energy: 32.130000, zcr: 18.000000
energy: 42.710000, zcr: 18.000000
energy: 51.640000, zcr: 15.000000
energy: 38.750000, zcr: 13.000000
energy: 41.030000, zcr: 14.000000
energy: 39.910000, zcr: 15.000000
energy: 43.320000, zcr: 19.000000
energy: 34.110000, zcr: 19.000000
energy: 45.020000, zcr: 16.000000
energy: 34.370000, zcr: 18.000000
energy: 27.520000, zcr: 13.000000
energy: 36.000000, zcr: 20.000000
energy: 35.880000, zcr: 16.000000
energy: 40.470000, zcr: 12.000000
energy: 63.180000, zcr: 16.000000
energy: 54.620000, zcr: 13.000000
energy: 35.130000, zcr: 15.000000
energy: 47.010000, zcr: 15.000000
energy: 32.450000, zcr: 16.000000
energy: 34.030000, zcr: 12.000000
energy: 33.920000, zcr: 15.000000
energy: 38.860000, zcr: 18.000000
energy: 40.810000, zcr: 16.000000
energy: 54.970000, zcr: 17.000000
energy: 39.620000, zcr: 16.000000
energy: 108.530000, zcr: 16.000000
energy: 84.140000, zcr: 11.000000
energy: 303.270000, zcr: 10.000000
energy: 169.690000, zcr: 5.000000
energy: 115.240000, zcr: 7.000000
energy: 103.320000, zcr: 8.000000
energy: 72.140000, zcr: 13.000000
energy: 46.560000, zcr: 15.000000
energy: 57.680000, zcr: 14.000000
energy: 60.480000, zcr: 11.000000
energy: 50.950000, zcr: 15.000000
energy: 49.270000, zcr: 15.000000
energy: 45.220000, zcr: 12.000000
energy: 62.380000, zcr: 14.000000
energy: 382.450000, zcr: 6.000000
energy: 757.130000, zcr: 8.000000
energy: 2508.870000, zcr: 3.000000
energy: 17482.280000, zcr: 0.000000
energy: 2917.340000, zcr: 4.000000
energy: 3398.720000, zcr: 1.000000
energy: 964.500000, zcr: 4.000000
energy: 1384.710000, zcr: 3.000000
energy: 35391.580000, zcr: 0.000000
energy: 136022.510000, zcr: 0.000000
energy: 231306.030000, zcr: 0.000000
energy: 248765.700000, zcr: 0.000000
energy: 456529.880000, zcr: 0.000000
energy: 61929.990000, zcr: 0.000000
energy: 3353.930000, zcr: 0.000000
energy: 18367.120000, zcr: 0.000000
energy: 161406.550000, zcr: 0.000000
energy: 182434.320000, zcr: 1.000000
energy: 6571.930000, zcr: 2.000000
energy: 22768.860000, zcr: 0.000000
energy: 89852.990000, zcr: 0.000000
energy: 127425.970000, zcr: 1.000000
energy: 5426.550000, zcr: 0.000000
energy: 6208.630000, zcr: 2.000000
energy: 11023.160000, zcr: 2.000000
energy: 441.400000, zcr: 5.000000
energy: 456.870000, zcr: 4.000000
energy: 2931.940000, zcr: 5.000000
energy: 235.010000, zcr: 7.000000
energy: 110.520000, zcr: 9.000000
energy: 43.670000, zcr: 14.000000
energy: 42.530000, zcr: 13.000000
energy: 70.920000, zcr: 7.000000
energy: 89.620000, zcr: 14.000000
energy: 74.790000, zcr: 15.000000
energy: 65.070000, zcr: 14.000000
energy: 46.770000, zcr: 14.000000
energy: 61.790000, zcr: 13.000000
energy: 40.390000, zcr: 9.000000
energy: 42.610000, zcr: 19.000000
energy: 57.200000, zcr: 14.000000
energy: 144.320000, zcr: 8.000000
energy: 148.910000, zcr: 11.000000
energy: 116.020000, zcr: 10.000000
energy: 129.900000, zcr: 14.000000
energy: 13867.400000, zcr: 1.000000
energy: 34358.020000, zcr: 1.000000
energy: 50625.210000, zcr: 0.000000
energy: 71752.820000, zcr: 0.000000
energy: 132042.410000, zcr: 0.000000
energy: 161797.150000, zcr: 2.000000
energy: 383924.010000, zcr: 0.000000
energy: 345867.460000, zcr: 0.000000
energy: 359454.490000, zcr: 0.000000
energy: 302668.530000, zcr: 1.000000
energy: 287368.860000, zcr: 0.000000
energy: 617329.610000, zcr: 0.000000
energy: 622721.690000, zcr: 0.000000
energy: 591275.740000, zcr: 0.000000
energy: 459919.030000, zcr: 0.000000
energy: 361932.420000, zcr: 0.000000
energy: 386593.800000, zcr: 0.000000
energy: 294951.720000, zcr: 0.000000
energy: 277482.470000, zcr: 0.000000
energy: 288539.710000, zcr: 0.000000
energy: 480043.250000, zcr: 0.000000
energy: 536528.030000, zcr: 0.000000
energy: 482914.220000, zcr: 0.000000
